,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_mass
720,720,HD 219134 h,21.0,0.34 Jupiters,5.57,2015,Gas Giant,1.14 x Jupiter,3.11 AU,6.2 years,0.06,HD 219134,Radial Velocity,,,0.81
721,721,HD 219415 b,541.0,1 Jupiter,8.94,2012,Gas Giant,1.23 x Jupiter,3.2 AU,5.7 years,0.4,HD 219415,Radial Velocity,,,1.0
722,722,HD 219666 b,308.0,16.6 Earths,9.65,2018,Neptune-like,0.42 x Jupiter,0.06356 AU,6 days,0.0,HD 219666,Transit,86.38,0.87,0.92
723,723,HD 219828 b,239.0,20.97678 Earths,8.04,2007,Neptune-like,0.433 x Jupiter,0.0507 AU,3.8 days,0.1,HD 219828,Radial Velocity,,,1.18
724,724,HD 219828 c,239.0,14.6 Jupiters,8.04,2016,Gas Giant,1.09 x Jupiter,5.79 AU,12.8 years,0.81,HD 219828,Radial Velocity,,,1.18
725,725,HD 220074 b,1068.0,16.64 Jupiters,6.4,2012,Gas Giant,1.09 x Jupiter,1.6 AU,1.8 years,0.14,HD 220074,Radial Velocity,,,2.2
726,726,HD 220197 b,210.0,0.2 Jupiters,9.0,2018,Gas Giant,0.832 x Jupiter,2.729 AU,4.7 years,0.19,HD 220197,Radial Velocity,,,0.91
727,727,HD 220689 b,153.0,1.118 Jupiters,7.795,2012,Gas Giant,1.23 x Jupiter,3.396 AU,6.2 years,0.05,HD 220689,Radial Velocity,,,1.02
728,728,HD 220773 b,160.0,1.45 Jupiters,7.093,2011,Gas Giant,1.21 x Jupiter,4.94 AU,10.2 years,0.51,HD 220773,Radial Velocity,,,1.16
729,729,HD 220842 b,204.0,3.18 Jupiters,7.99,2016,Gas Giant,1.17 x Jupiter,0.74 AU,218.5 days,0.4,HD 220842,Radial Velocity,,,1.13
730,730,HD 221287 b,183.0,3.09 Jupiters,7.807,2007,Gas Giant,1.17 x Jupiter,1.25 AU,456.1 days,0.08,HD 221287,Radial Velocity,,,1.25
731,731,HD 221416 b,310.0,0.19 Jupiters,8.146,2019,Gas Giant,0.836 x Jupiter,0.1228 AU,14.3 days,0.12,HD 221416,Transit,85.75,0.431,1.21
732,732,HD 221420 b,102.0,9.7 Jupiters,5.81,2019,Gas Giant,1.11 x Jupiter,18.5 AU,61.6 years,0.42,HD 221420,Radial Velocity,,,1.67
733,733,HD 221585 b,182.0,1.61 Jupiters,7.465,2016,Gas Giant,1.21 x Jupiter,2.306 AU,3.2 years,0.12,HD 221585,Radial Velocity,,,1.19
734,734,HD 222076 b,298.0,1.56 Jupiters,7.459,2016,Gas Giant,1.21 x Jupiter,1.83 AU,2.4 years,0.08,HD 222076,Radial Velocity,,,1.07
735,735,HD 222155 b,165.0,2.12 Jupiters,7.114,2011,Gas Giant,1.19 x Jupiter,5.14 AU,11 years,0.16,HD 222155,Radial Velocity,,,1.21
736,736,HD 222582 b,138.0,8.37 Jupiters,7.68,1999,Gas Giant,1.12 x Jupiter,1.34 AU,1.6 years,0.73,HD 222582,Radial Velocity,,,1.12
737,737,HD 224538 b,258.0,5.97 Jupiters,8.06,2016,Gas Giant,1.14 x Jupiter,2.28 AU,3.3 years,0.46,HD 224538,Radial Velocity,,,1.34
738,738,HD 224693 b,306.0,0.7 Jupiters,8.23,2006,Gas Giant,1.25 x Jupiter,0.191 AU,26.7 days,0.1,HD 224693,Radial Velocity,,,1.31
739,739,HD 22781 b,106.0,13.65 Jupiters,8.766,2011,Gas Giant,1.1 x Jupiter,1.167 AU,1.4 years,0.82,HD 22781,Radial Velocity,,,0.75
740,740,HD 23079 b,109.0,2.61 Jupiters,7.12,2001,Gas Giant,1.18 x Jupiter,1.6 AU,2 years,0.1,HD 23079,Radial Velocity,,,1.12
741,741,HD 23127 b,307.0,1.527 Jupiters,8.576,2006,Gas Giant,1.21 x Jupiter,2.37 AU,3.3 years,0.41,HD 23127,Radial Velocity,,,1.21
742,742,HD 231701 b,356.0,1.13 Jupiters,8.97,2007,Gas Giant,1.22 x Jupiter,0.567 AU,141.6 days,0.13,HD 231701,Radial Velocity,,,1.21
743,743,HD 233604 b,2833.0,6.575 Jupiters,10.406,2013,Gas Giant,1.13 x Jupiter,0.747 AU,192 days,0.05,HD 233604,Radial Velocity,,,1.5
744,744,HD 233832 b,192.0,1.78 Jupiters,10.146,2018,Gas Giant,1.2 x Jupiter,2.827 AU,5.6 years,0.36,HD 233832,Radial Velocity,,,0.71
745,745,HD 23472 b,127.0,17.92 Earths,9.724,2019,Neptune-like,0.395 x Jupiter,0.121 AU,17.7 days,0.0,HD 23472,Transit,,,0.75
746,746,HD 23472 c,127.0,17.18 Earths,9.724,2019,Neptune-like,0.385 x Jupiter,0.17 AU,29.6 days,0.0,HD 23472,Transit,,,0.75
747,747,HD 23596 b,170.0,9.03 Jupiters,7.244,2003,Gas Giant,1.12 x Jupiter,2.77 AU,4.3 years,0.27,HD 23596,Radial Velocity,,,1.47
748,748,HD 238914 b,1720.0,6 Jupiters,8.79,2018,Gas Giant,1.14 x Jupiter,5.7 AU,11.2 years,0.56,HD 238914,Radial Velocity,,,1.47
749,749,HD 240210 b,466.0,5.21 Jupiters,8.33,2009,Gas Giant,1.14 x Jupiter,1.16 AU,1.4 years,0.15,HD 240210,Radial Velocity,,,0.82
750,750,HD 240237 b,3126.0,15.89 Jupiters,8.19,2011,Gas Giant,1.09 x Jupiter,1.92 AU,2 years,0.4,HD 240237,Radial Velocity,,,8.76
751,751,HD 24040 b,152.0,3.86 Jupiters,7.492999999999999,2006,Gas Giant,1.16 x Jupiter,4.92 AU,10 years,0.04,HD 24040,Radial Velocity,,,1.11
752,752,HD 24064 b,988.0,12.89 Jupiters,6.75,2015,Gas Giant,1.1 x Jupiter,1.29 AU,1.5 years,0.35,HD 24064,Radial Velocity,,,1.61
753,753,HD 24085 b,179.0,11.8 Earths,7.564,2019,Neptune-like,0.309 x Jupiter,0.034 AU,2 days,0.22,HD 24085,Radial Velocity,,,1.22
754,754,HD 25015 b,122.0,4.48 Jupiters,8.87,2019,Gas Giant,1.15 x Jupiter,6.19 AU,16.5 years,0.39,HD 25015,Radial Velocity,,,0.86
755,755,HD 25171 b,182.0,0.915 Jupiters,7.782,2010,Gas Giant,1.24 x Jupiter,2.971 AU,4.9 years,0.04,HD 25171,Radial Velocity,,,1.08
756,756,HD 2638 b,180.0,0.42 Jupiters,9.375,2005,Gas Giant,1.28 x Jupiter,0.04 AU,3.4 days,0.0,HD 2638,Radial Velocity,,,0.77
757,757,HD 2685 b,646.0,1.17 Jupiters,9.52,2019,Gas Giant,1.44 x Jupiter,0.0568 AU,4.1 days,0.09,HD 2685,Transit,89.25200000000001,,1.43
