,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_mass
3596,3596,Kepler-848 b,2600.0,3.53 Earths,14.011,2016,Super Earth,1.7 x Earth,Unknown,6.9 days,0.0,Kepler-842,Transit,,,0.78
3597,3597,Kepler-849 b,2437.0,0.127 Jupiters,12.836,2016,Gas Giant,0.637 x Jupiter,Unknown,394.6 days,0.0,Kepler-843,Transit,,,1.02
3598,3598,Kepler-84 b,4708.0,40 Earths,14.79,2012,Super Earth,2.23 x Earth,Unknown,8.7 days,0.0,Kepler-844,Transit,,,0.59
3599,3599,Kepler-84 c,4708.0,20.2 Earths,14.79,2012,Super Earth,0.211 x Jupiter,Unknown,12.9 days,0.0,Kepler-845,Transit,,,0.79
3600,3600,Kepler-84 d,4708.0,2.48 Earths,14.79,2014,Super Earth,1.38 x Earth,0.052 AU,4.2 days,0.0,Kepler-846,Transit,,,0.94
3601,3601,Kepler-84 e,4708.0,7.27 Earths,14.79,2014,Neptune-like,0.232 x Jupiter,0.181 AU,27.4 days,0.0,Kepler-847,Transit,,,0.83
3602,3602,Kepler-84 f,4708.0,5.48 Earths,14.79,2014,Neptune-like,2.2 x Earth,0.25 AU,44.6 days,0.0,Kepler-848,Transit,,,1.01
3603,3603,Kepler-850 b,5007.0,3.82 Earths,15.427,2016,Super Earth,1.78 x Earth,Unknown,7.2 days,0.0,Kepler-849,Transit,,,1.23
3604,3604,Kepler-851 b,2835.0,3.46 Earths,15.108,2016,Super Earth,1.68 x Earth,Unknown,8.5 days,0.0,Kepler-85,Transit,,,
3605,3605,Kepler-852 b,2786.0,6.99 Earths,13.907,2016,Neptune-like,0.227 x Jupiter,Unknown,44.9 days,0.0,Kepler-85,Transit,,,
3606,3606,Kepler-853 b,1990.0,3.5 Earths,12.248,2016,Super Earth,1.69 x Earth,Unknown,7.2 days,0.0,Kepler-85,Transit,,,
3607,3607,Kepler-854 b,2417.0,132 Jupiters,13.504,2016,Gas Giant,1.492 x Jupiter,Unknown,2.1 days,0.0,Kepler-85,Transit,,,
3608,3608,Kepler-855 b,3402.0,0.166 Jupiters,15.019,2016,Gas Giant,0.745 x Jupiter,Unknown,7.9 days,0.0,Kepler-850,Transit,,,1.06
3609,3609,Kepler-856 b,3833.0,0.199 Jupiters,15.557,2016,Gas Giant,0.83 x Jupiter,Unknown,8 days,0.0,Kepler-851,Transit,,,0.89
3610,3610,Kepler-857 b,3389.0,37.2 Earths,15.064,2016,Neptune-like,0.607 x Jupiter,Unknown,85.4 days,0.0,Kepler-852,Transit,,,1.19
3611,3611,Kepler-858 b,966.0,21.1 Earths,12.411,2016,Neptune-like,0.434 x Jupiter,Unknown,76.1 days,0.0,Kepler-853,Transit,,,1.3
3612,3612,Kepler-859 b,2985.0,9.75 Earths,15.88,2016,Neptune-like,0.276 x Jupiter,Unknown,20.4 days,0.0,Kepler-854,Transit,,,1.17
3613,3613,Kepler-85 b,2551.0,4.54 Earths,14.765999999999998,2012,Super Earth,1.97 x Earth,Unknown,8.3 days,0.0,Kepler-855,Transit,,,1.03
3614,3614,Kepler-85 c,2551.0,20.9 Earths,14.765999999999998,2012,Super Earth,2.18 x Earth,Unknown,12.5 days,0.0,Kepler-856,Transit,,,0.96
3615,3615,Kepler-85 d,2551.0,1.87 Earths,14.765999999999998,2014,Super Earth,1.2 x Earth,0.13 AU,17.9 days,0.0,Kepler-857,Transit,,,0.99
3616,3616,Kepler-85 e,2551.0,0.6 Earths,14.765999999999998,2014,Super Earth,1.27 x Earth,0.163 AU,25.2 days,0.0,Kepler-858,Transit,,,0.96
3617,3617,Kepler-860 b,4224.0,10.6 Earths,15.403,2016,Neptune-like,0.289 x Jupiter,Unknown,5.1 days,0.0,Kepler-859,Transit,,,0.81
3618,3618,Kepler-861 b,2629.0,5.82 Earths,15.595999999999998,2016,Neptune-like,0.203 x Jupiter,Unknown,3.9 days,0.0,Kepler-860,Transit,,,1.04
3619,3619,Kepler-862 b,2629.0,5.52 Earths,15.303,2016,Neptune-like,2.21 x Earth,Unknown,3.1 days,0.0,Kepler-861,Transit,,,0.82
3620,3620,Kepler-863 b,3735.0,8.75 Earths,15.446,2016,Neptune-like,0.259 x Jupiter,Unknown,15.6 days,0.0,Kepler-862,Transit,,,0.88
3621,3621,Kepler-864 b,5131.0,6.35 Earths,15.782,2016,Neptune-like,0.214 x Jupiter,Unknown,5.8 days,0.0,Kepler-863,Transit,,,0.96
3622,3622,Kepler-865 b,2166.0,6.76 Earths,14.504,2016,Neptune-like,0.222 x Jupiter,Unknown,14.2 days,0.0,Kepler-864,Transit,,,1.0
3623,3623,Kepler-866 b,2251.0,3.29 Earths,15.797,2016,Super Earth,1.63 x Earth,Unknown,2.6 days,0.0,Kepler-865,Transit,,,0.93
3624,3624,Kepler-867 b,2688.0,19.4 Earths,14.885,2016,Neptune-like,0.414 x Jupiter,Unknown,150.2 days,0.0,Kepler-866,Transit,,,0.75
3625,3625,Kepler-868 b,4139.0,4.86 Earths,15.618,2016,Super Earth,2.05 x Earth,Unknown,5 days,0.0,Kepler-867,Transit,,,0.92
3626,3626,Kepler-869 b,3122.0,12.7 Earths,14.969,2016,Neptune-like,0.322 x Jupiter,Unknown,40.4 days,0.0,Kepler-868,Transit,,,0.93
3627,3627,Kepler-870 b,4016.0,8.15 Earths,15.222,2016,Neptune-like,0.248 x Jupiter,Unknown,21.4 days,0.0,Kepler-869,Transit,,,0.97
3628,3628,Kepler-871 b,5529.0,13.5 Earths,15.642,2016,Neptune-like,0.334 x Jupiter,Unknown,22 days,0.0,Kepler-87,Transit,89.274,0.729,1.1
3629,3629,Kepler-872 b,3634.0,4.62 Earths,15.071,2016,Super Earth,1.99 x Earth,Unknown,2.6 days,0.0,Kepler-87,Transit,89.588,0.152,1.1
3630,3630,Kepler-873 b,4557.0,13.5 Earths,14.795,2016,Neptune-like,0.335 x Jupiter,Unknown,20.6 days,0.0,Kepler-870,Transit,,,1.01
3631,3631,Kepler-874 b,3497.0,14.7 Earths,14.694,2016,Neptune-like,0.352 x Jupiter,Unknown,40.1 days,0.0,Kepler-871,Transit,,,1.11
3632,3632,Kepler-875 b,4058.0,8.75 Earths,15.21,2016,Neptune-like,0.259 x Jupiter,Unknown,27.5 days,0.0,Kepler-872,Transit,,,1.05
3633,3633,Kepler-876 b,2398.0,2.63 Earths,15.33,2016,Super Earth,1.43 x Earth,Unknown,5.1 days,0.0,Kepler-873,Transit,,,1.18
3634,3634,Kepler-877 b,1866.0,5.14 Earths,14.523,2016,Neptune-like,2.12 x Earth,Unknown,18.5 days,0.0,Kepler-874,Transit,,,1.09
3635,3635,Kepler-878 b,1850.0,4.38 Earths,14.79,2016,Super Earth,1.93 x Earth,Unknown,25.9 days,0.0,Kepler-875,Transit,,,1.06
3636,3636,Kepler-879 b,2518.0,7.13 Earths,14.238,2016,Neptune-like,0.229 x Jupiter,Unknown,33.4 days,0.0,Kepler-876,Transit,,,0.81
3637,3637,Kepler-87 b,4168.0,1.02 Jupiters,14.587,2013,Gas Giant,1.204 x Jupiter,0.481 AU,114.7 days,0.04,Kepler-877,Transit,,,0.85
3638,3638,Kepler-87 c,4168.0,6.4 Earths,14.587,2013,Neptune-like,0.548 x Jupiter,0.676 AU,191.2 days,0.04,Kepler-878,Transit,,,0.81
3639,3639,Kepler-880 b,2195.0,7.56 Earths,11.964,2016,Neptune-like,0.237 x Jupiter,Unknown,7.7 days,0.0,Kepler-879,Transit,,,1.02
3640,3640,Kepler-881 b,4449.0,3.82 Earths,15.177,2016,Super Earth,1.78 x Earth,Unknown,4.4 days,0.0,KOI-142,Radial Velocity,89.0,,0.99
3641,3641,Kepler-882 b,1713.0,2.04 Earths,14.077,2016,Super Earth,1.23 x Earth,Unknown,4 days,0.0,Kepler-880,Transit,,,1.46
3642,3642,Kepler-883 b,1791.0,3.82 Earths,13.007,2016,Super Earth,1.78 x Earth,Unknown,13 days,0.0,Kepler-881,Transit,,,1.06
3643,3643,Kepler-884 b,1370.0,2.04 Earths,13.047,2016,Super Earth,1.23 x Earth,Unknown,5.7 days,0.0,Kepler-882,Transit,,,0.9
3644,3644,Kepler-885 b,2062.0,6.8 Earths,12.788,2016,Neptune-like,0.223 x Jupiter,Unknown,18.1 days,0.0,Kepler-883,Transit,,,1.06
3645,3645,Kepler-886 b,2796.0,2.92 Earths,13.894,2016,Super Earth,1.52 x Earth,Unknown,6.2 days,0.0,Kepler-884,Transit,,,1.0
3646,3646,Kepler-887 b,2711.0,4.04 Earths,13.45,2016,Super Earth,1.84 x Earth,Unknown,20.4 days,0.0,Kepler-885,Transit,,,1.21
3647,3647,Kepler-887 c,2711.0,1.51 Earths,13.45,2016,Super Earth,1.13 x Earth,Unknown,7.6 days,0.0,Kepler-886,Transit,,,1.1
3648,3648,Kepler-888 b,1347.0,3.75 Earths,12.981,2016,Super Earth,1.76 x Earth,Unknown,70.7 days,0.0,Kepler-887,Transit,,,1.19
3649,3649,Kepler-889 b,1673.0,1.32 Earths,12.68,2016,Super Earth,1.09 x Earth,Unknown,3.7 days,0.0,Kepler-887,Transit,,,1.19
3650,3650,Kepler-88 d,1106.0,3.05046 Jupiters,13.11,2020,Gas Giant,1.17 x Jupiter,Unknown,3.8 years,0.41,Kepler-888,Transit,,,0.97
3651,3651,Kepler-890 b,4524.0,0.184 Jupiters,15.136,2016,Gas Giant,0.793 x Jupiter,Unknown,52.8 days,0.0,Kepler-889,Transit,,,1.14
3652,3652,Kepler-891 b,4475.0,33.6 Earths,15.273,2016,Neptune-like,0.572 x Jupiter,Unknown,53.4 days,0.0,Kepler-890,Transit,,,1.09
3653,3653,Kepler-892 b,2088.0,8.3 Earths,15.59,2016,Neptune-like,0.251 x Jupiter,Unknown,13.8 days,0.0,Kepler-891,Transit,,,1.06
3654,3654,Kepler-893 b,3967.0,9.43 Earths,15.174,2016,Neptune-like,0.27 x Jupiter,Unknown,6.3 days,0.0,Kepler-892,Transit,,,0.75
3655,3655,Kepler-894 b,3556.0,8.15 Earths,15.406,2016,Neptune-like,0.248 x Jupiter,Unknown,9.8 days,0.0,Kepler-893,Transit,,,1.0
3656,3656,Kepler-895 b,1683.0,2.99 Earths,15.98,2016,Super Earth,1.54 x Earth,Unknown,2.8 days,0.0,Kepler-894,Transit,,,0.87
3657,3657,Kepler-896 b,2923.0,6.94 Earths,15.431,2016,Neptune-like,0.226 x Jupiter,Unknown,144.5 days,0.0,Kepler-895,Transit,,,0.65
3658,3658,Kepler-897 b,3742.0,6.3 Earths,15.079,2016,Neptune-like,0.213 x Jupiter,Unknown,8 days,0.0,Kepler-896,Transit,,,0.84
3659,3659,Kepler-898 b,1562.0,2.83 Earths,15.939,2016,Super Earth,1.49 x Earth,Unknown,5.9 days,0.0,Kepler-897,Transit,,,1.03
3660,3660,Kepler-899 b,3386.0,7.65 Earths,15.382,2016,Neptune-like,0.239 x Jupiter,Unknown,19.2 days,0.0,Kepler-898,Transit,,,0.65
3661,3661,Kepler-8 b,3435.0,0.59 Jupiters,13.9,2010,Gas Giant,1.416 x Jupiter,0.0474 AU,3.5 days,< 0.18,Kepler-899,Transit,,,0.93
3662,3662,Kepler-900 b,1647.0,4.98 Earths,14.945,2016,Super Earth,2.08 x Earth,Unknown,7 days,0.0,Kepler-9,Transit,88.98200000000001,0.42,1.02
3663,3663,Kepler-901 b,786.0,2.45 Earths,14.68,2016,Super Earth,1.37 x Earth,Unknown,3.5 days,0.0,Kepler-9,Transit,89.18799999999999,0.31,1.02
3664,3664,Kepler-902 b,2949.0,6.99 Earths,14.858,2016,Neptune-like,0.227 x Jupiter,Unknown,40.1 days,0.0,Kepler-9,Transit,,,1.02
3665,3665,Kepler-903 b,2704.0,4.7 Earths,14.615,2016,Super Earth,2.01 x Earth,Unknown,10.4 days,0.0,KOI-351,Transit,89.2,,1.2
3666,3666,Kepler-903 c,2704.0,6.94 Earths,14.615,2016,Neptune-like,0.226 x Jupiter,Unknown,62.9 days,0.0,Kepler-900,Transit,,,0.78
3667,3667,Kepler-904 b,3755.0,3.78 Earths,14.392,2016,Super Earth,1.77 x Earth,Unknown,3 days,0.0,Kepler-901,Transit,,,0.59
3668,3668,Kepler-905 b,1700.0,2.57 Earths,13.95,2016,Super Earth,1.41 x Earth,Unknown,5.1 days,0.0,Kepler-902,Transit,,,0.95
3669,3669,Kepler-906 b,2473.0,5.1 Earths,13.918,2016,Neptune-like,2.11 x Earth,Unknown,41.7 days,0.0,Kepler-903,Transit,,,0.98
3670,3670,Kepler-907 b,1148.0,1.87 Earths,11.462,2016,Super Earth,1.2 x Earth,Unknown,15.9 days,0.0,Kepler-903,Transit,,,0.98
3671,3671,Kepler-908 b,816.0,1.98 Earths,11.465,2016,Super Earth,1.22 x Earth,Unknown,1.3 days,0.0,Kepler-904,Transit,,,1.16
3672,3672,Kepler-909 b,1037.0,2.76 Earths,11.51,2016,Super Earth,1.47 x Earth,Unknown,13.9 days,0.0,Kepler-905,Transit,,,0.95
3673,3673,Kepler-90b,2544.0,2.27 Earths,13.74,2013,Super Earth,1.31 x Earth,0.074 AU,7 days,0.0,Kepler-906,Transit,,,1.06
3674,3674,Kepler-90c,2544.0,1.81 Earths,13.74,2013,Super Earth,1.19 x Earth,0.089 AU,8.7 days,0.0,Kepler-907,Transit,,,1.08
3675,3675,Kepler-90d,2544.0,8.6 Earths,13.74,2013,Neptune-like,0.256 x Jupiter,0.32 AU,59.7 days,0.0,Kepler-908,Transit,,,1.11
3676,3676,Kepler-90e,2544.0,7.56 Earths,13.74,2013,Neptune-like,0.237 x Jupiter,0.42 AU,91.9 days,0.0,Kepler-909,Transit,,,1.17
3677,3677,Kepler-90f,2544.0,8.65 Earths,13.74,2013,Neptune-like,0.257 x Jupiter,0.48 AU,124.9 days,0.0,Kepler-91,Transit,69.68,0.4,1.31
3678,3678,Kepler-90g,2544.0,0.8 Jupiters,13.74,2013,Gas Giant,0.723 x Jupiter,0.71 AU,210.6 days,0.0,Kepler-910,Transit,,,1.26
3679,3679,Kepler-90h,2544.0,1.2 Jupiters,13.74,2013,Gas Giant,1.008 x Jupiter,1.01 AU,331.6 days,0.0,Kepler-911,Transit,,,1.34
3680,3680,Kepler-90 i,2544.0,2.3 Earths,13.74,2017,Super Earth,1.32 x Earth,Unknown,14.4 days,0.0,Kepler-912,Transit,,,1.07
3681,3681,Kepler-910 b,1311.0,0.477 Earths,11.529000000000002,2016,Terrestrial,0.82 x Earth,Unknown,2.4 days,0.0,Kepler-913,Transit,,,0.63
3682,3682,Kepler-911 b,1850.0,7.27 Earths,11.829,2016,Neptune-like,0.232 x Jupiter,Unknown,20.3 days,0.0,Kepler-914,Transit,,,1.1
3683,3683,Kepler-912 b,4126.0,8.25 Earths,15.326,2016,Neptune-like,0.25 x Jupiter,Unknown,2.5 days,0.0,Kepler-915,Transit,,,1.21
3684,3684,Kepler-913 b,1947.0,4.9 Earths,15.739,2016,Super Earth,2.06 x Earth,Unknown,10.3 days,0.0,Kepler-916,Transit,,,0.85
3685,3685,Kepler-914 b,2212.0,2.48 Earths,13.548,2016,Super Earth,1.38 x Earth,Unknown,4.4 days,0.0,Kepler-917,Transit,,,0.8
3686,3686,Kepler-915 b,2629.0,2.86 Earths,13.241,2016,Super Earth,1.5 x Earth,Unknown,4.6 days,0.0,Kepler-918,Transit,,,1.11
3687,3687,Kepler-916 b,2508.0,3.75 Earths,15.175,2016,Super Earth,1.76 x Earth,Unknown,32.3 days,0.0,Kepler-919,Transit,,,1.15
3688,3688,Kepler-917 b,3350.0,4.31 Earths,15.853,2016,Super Earth,1.91 x Earth,Unknown,3 days,0.0,Kepler-92,Transit,,,
3689,3689,Kepler-918 b,4061.0,3.68 Earths,14.955,2016,Super Earth,1.74 x Earth,Unknown,4.9 days,0.0,Kepler-92,Transit,,,
3690,3690,Kepler-919 b,3976.0,5.69 Earths,14.678,2016,Neptune-like,0.201 x Jupiter,Unknown,11 days,0.0,Kepler-92,Transit,,,
3691,3691,Kepler-91 b,4386.0,0.81 Jupiters,12.476,2013,Gas Giant,1.367 x Jupiter,0.0731 AU,6.2 days,0.05,Kepler-920,Transit,,,0.89
3692,3692,Kepler-920 b,3021.0,6.44 Earths,15.268,2016,Neptune-like,0.216 x Jupiter,Unknown,6.5 days,0.0,Kepler-920,Transit,,,0.89
3693,3693,Kepler-920 c,3021.0,13.8 Earths,15.268,2016,Neptune-like,0.339 x Jupiter,Unknown,100.8 days,0.0,Kepler-921,Transit,,,0.93
3694,3694,Kepler-921 b,2763.0,8.6 Earths,14.705,2016,Neptune-like,0.256 x Jupiter,Unknown,51.3 days,0.0,Kepler-922,Transit,,,0.95
3695,3695,Kepler-922 b,1820.0,2.6 Earths,13.745,2016,Super Earth,1.42 x Earth,Unknown,0.9 days,0.0,Kepler-923,Transit,,,1.11
3696,3696,Kepler-923 b,3151.0,2.48 Earths,14.012,2016,Super Earth,1.38 x Earth,Unknown,6.9 days,0.0,Kepler-924,Transit,,,1.14
3697,3697,Kepler-924 b,3246.0,9.64 Earths,14.137,2016,Neptune-like,0.274 x Jupiter,Unknown,61 days,0.0,Kepler-925,Transit,,,0.77
3698,3698,Kepler-925 b,2032.0,6.08 Earths,15.816,2016,Neptune-like,0.209 x Jupiter,Unknown,33.9 days,0.0,Kepler-926,Transit,,,1.01
3699,3699,Kepler-926 b,2515.0,5.95 Earths,14.259,2016,Neptune-like,0.206 x Jupiter,Unknown,52.1 days,0.0,Kepler-927,Transit,,,0.99
3700,3700,Kepler-927 b,2867.0,3.61 Earths,14.601,2016,Super Earth,1.72 x Earth,Unknown,9.1 days,0.0,Kepler-928,Transit,,,0.73
3701,3701,Kepler-928 b,1735.0,3.15 Earths,15.323,2016,Super Earth,1.59 x Earth,Unknown,3.9 days,0.0,Kepler-929,Transit,,,1.01
3702,3702,Kepler-929 b,2675.0,1.41 Earths,14.504,2016,Super Earth,1.11 x Earth,Unknown,0.9 days,0.0,Kepler-93,Transit,89.18,,1.09
3703,3703,Kepler-92 b,1581.0,0.202 Jupiters,11.745,2013,Gas Giant,0.313 x Jupiter,Unknown,13.7 days,0.17,Kepler-93,Radial Velocity,,,1.09
3704,3704,Kepler-92 c,1581.0,6.1 Earths,11.745,2013,Neptune-like,0.232 x Jupiter,Unknown,26.7 days,0.04,Kepler-930,Transit,,,1.25
3705,3705,Kepler-92 d,1581.0,4.93 Earths,11.745,2015,Super Earth,2.067 x Earth,Unknown,49.4 days,0.07,Kepler-931,Transit,,,0.86
3706,3706,Kepler-930 b,2952.0,5.18 Earths,13.763,2016,Neptune-like,2.13 x Earth,Unknown,71.5 days,0.0,Kepler-932,Transit,,,0.87
3707,3707,Kepler-931 b,1598.0,2.33 Earths,14.488,2016,Super Earth,1.33 x Earth,Unknown,8 days,0.0,Kepler-933,Transit,,,0.87
3708,3708,Kepler-932 b,1559.0,2.45 Earths,14.136,2016,Super Earth,1.37 x Earth,Unknown,1.9 days,0.0,Kepler-934,Transit,,,0.81
3709,3709,Kepler-933 b,3008.0,6.62 Earths,15.438,2016,Neptune-like,0.219 x Jupiter,Unknown,14.2 days,0.0,Kepler-935,Transit,,,0.78
3710,3710,Kepler-934 b,1967.0,5.02 Earths,15.034,2016,Super Earth,2.09 x Earth,Unknown,55.7 days,0.0,Kepler-936,Transit,,,0.92
3711,3711,Kepler-935 b,1572.0,2.39 Earths,14.9,2016,Super Earth,1.35 x Earth,Unknown,4.9 days,0.0,Kepler-937,Transit,,,1.15
3712,3712,Kepler-936 b,2241.0,2.7 Earths,14.789,2016,Super Earth,1.45 x Earth,Unknown,10.6 days,0.0,Kepler-937,Transit,,,1.15
3713,3713,Kepler-937 b,4834.0,13.4 Earths,15.194,2016,Neptune-like,0.332 x Jupiter,Unknown,67.7 days,0.0,Kepler-938,Transit,,,0.92
3714,3714,Kepler-937 c,4834.0,7.61 Earths,15.194,2016,Neptune-like,0.238 x Jupiter,Unknown,153.3 days,0.0,Kepler-939,Transit,,,0.88
3715,3715,Kepler-938 b,2809.0,5.56 Earths,15.004,2016,Neptune-like,2.22 x Earth,Unknown,52.6 days,0.0,Kepler-94,Transit,,1.45,0.81
3716,3716,Kepler-939 b,3357.0,3.71 Earths,15.52,2016,Super Earth,1.75 x Earth,Unknown,14.9 days,0.0,Kepler-94,Radial Velocity,,,0.81
3717,3717,Kepler-93 b,314.0,3.1783 Earths,9.862,2014,Super Earth,1.569 x Earth,0.053 AU,4.7 days,0.0,Kepler-940,Transit,,,0.97
3718,3718,Kepler-93 c,314.0,3 Jupiters,9.862,2014,Gas Giant,Unknown,Unknown,4 years,0.0,Kepler-941,Transit,,,0.89
3719,3719,Kepler-940 b,4296.0,11.1 Earths,15.497,2016,Neptune-like,0.298 x Jupiter,Unknown,59.6 days,0.0,Kepler-942,Transit,,,0.81
3720,3720,Kepler-941 b,3605.0,9.69 Earths,15.572,2016,Neptune-like,0.275 x Jupiter,Unknown,17.4 days,0.0,Kepler-943,Transit,,,0.93
3721,3721,Kepler-942 b,711.0,5.18 Earths,13.066,2016,Neptune-like,2.13 x Earth,Unknown,45 days,0.0,Kepler-944,Transit,,,0.86
3722,3722,Kepler-943 b,4042.0,29.5 Earths,15.639,2016,Neptune-like,0.529 x Jupiter,Unknown,49.8 days,0.0,Kepler-945,Transit,,,0.97
3723,3723,Kepler-944 b,3376.0,7.41 Earths,15.711,2016,Neptune-like,0.235 x Jupiter,Unknown,43.3 days,0.0,Kepler-946,Transit,,,0.94
3724,3724,Kepler-945 b,5033.0,7.41 Earths,15.86,2016,Neptune-like,0.235 x Jupiter,Unknown,31 days,0.0,Kepler-947,Transit,,,0.9
3725,3725,Kepler-946 b,2995.0,4.38 Earths,14.923,2016,Super Earth,1.93 x Earth,Unknown,11.8 days,0.0,Kepler-948,Transit,,,0.96
3726,3726,Kepler-947 b,3875.0,5.82 Earths,15.752,2016,Neptune-like,0.203 x Jupiter,Unknown,27 days,0.0,Kepler-949,Transit,,,0.89
3727,3727,Kepler-948 b,2884.0,4.08 Earths,14.786,2016,Super Earth,1.85 x Earth,Unknown,7.8 days,0.0,Kepler-95,Transit,,1.71,1.08
3728,3728,Kepler-949 b,1866.0,8.8 Earths,14.508,2016,Neptune-like,0.26 x Jupiter,Unknown,8.7 days,0.0,Kepler-950,Transit,,,1.02
3729,3729,Kepler-94 b,629.0,10.84 Earths,12.857,2014,Neptune-like,0.313 x Jupiter,0.03106 AU,2.5 days,0.0,Kepler-951,Transit,,,0.77
3730,3730,Kepler-94 c,629.0,9.836 Jupiters,12.857,2014,Gas Giant,1.11 x Jupiter,Unknown,2.2 years,0.0,Kepler-952,Transit,,,1.0
3731,3731,Kepler-950 b,4857.0,0.188 Jupiters,15.681,2016,Gas Giant,0.801 x Jupiter,Unknown,98.7 days,0.0,Kepler-953,Transit,,,0.95
3732,3732,Kepler-951 b,1331.0,26.7 Earths,14.491,2016,Neptune-like,0.499 x Jupiter,Unknown,71.5 days,0.0,Kepler-953,Transit,,,0.95
3733,3733,Kepler-952 b,3807.0,0.143 Jupiters,15.188,2016,Gas Giant,0.682 x Jupiter,Unknown,130.4 days,0.0,Kepler-954,Transit,,,0.82
3734,3734,Kepler-953 b,783.0,16.5 Earths,12.143,2016,Neptune-like,0.376 x Jupiter,Unknown,88.4 days,0.0,Kepler-955,Transit,,,0.89
3735,3735,Kepler-953 c,783.0,1.81 Earths,12.143,2016,Super Earth,1.19 x Earth,Unknown,9.1 days,0.0,Kepler-956,Transit,,,1.1
3736,3736,Kepler-954 b,731.0,5.99 Earths,12.943,2016,Neptune-like,0.207 x Jupiter,Unknown,16.8 days,0.0,Kepler-957,Transit,,,0.81
3737,3737,Kepler-955 b,2078.0,9.96 Earths,14.627,2016,Neptune-like,0.279 x Jupiter,Unknown,14.5 days,0.0,Kepler-958,Transit,,,0.91
3738,3738,Kepler-956 b,2058.0,9.27 Earths,13.289,2016,Neptune-like,0.268 x Jupiter,Unknown,5.2 days,0.0,Kepler-959,Transit,,,1.6
3739,3739,Kepler-957 b,2443.0,25.9 Earths,15.691,2016,Neptune-like,0.491 x Jupiter,Unknown,5.9 days,0.0,Kepler-96,Transit,,2.26,1.0
3740,3740,Kepler-958 b,1523.0,4.9 Earths,13.73,2016,Super Earth,2.06 x Earth,Unknown,9.8 days,0.0,Kepler-960,Transit,,,0.77
3741,3741,Kepler-959 b,3272.0,17.6 Earths,12.466,2016,Neptune-like,0.391 x Jupiter,Unknown,14.8 days,0.0,Kepler-961,Transit,,,0.96
3742,3742,Kepler-95 b,1472.0,13 Earths,12.304,2014,Neptune-like,0.305 x Jupiter,Unknown,11.5 days,0.0,Kepler-962,Transit,,,0.93
3743,3743,Kepler-960 b,972.0,5.86 Earths,13.841,2016,Neptune-like,0.204 x Jupiter,Unknown,3.1 days,0.0,Kepler-963,Transit,,,0.91
3744,3744,Kepler-961 b,1980.0,7.04 Earths,14.043,2016,Neptune-like,0.227 x Jupiter,Unknown,16.9 days,0.0,Kepler-964,Transit,,,0.93
3745,3745,Kepler-962 b,1432.0,4.54 Earths,13.558,2016,Super Earth,1.97 x Earth,Unknown,12.1 days,0.0,Kepler-965,Transit,,,1.05
3746,3746,Kepler-963 b,2564.0,7.56 Earths,14.912,2016,Neptune-like,0.237 x Jupiter,Unknown,10 days,0.0,Kepler-966,Transit,,,1.02
3747,3747,Kepler-964 b,1559.0,5.14 Earths,13.903,2016,Neptune-like,2.12 x Earth,Unknown,13.5 days,0.0,Kepler-967,Transit,,,0.84
3748,3748,Kepler-965 b,2016.0,11.4 Earths,13.333,2016,Neptune-like,0.302 x Jupiter,Unknown,134.3 days,0.0,Kepler-967,Transit,,,0.84
3749,3749,Kepler-966 b,2522.0,16 Earths,14.444,2016,Neptune-like,0.368 x Jupiter,Unknown,99.7 days,0.0,Kepler-968,Transit,,,0.76
3750,3750,Kepler-967 b,1628.0,6.12 Earths,14.451,2016,Neptune-like,0.21 x Jupiter,Unknown,13.2 days,0.0,Kepler-968,Transit,,,0.76
3751,3751,Kepler-967 c,1628.0,12.9 Earths,14.451,2016,Neptune-like,0.326 x Jupiter,Unknown,198.7 days,0.0,Kepler-969,Transit,,,0.92
3752,3752,Kepler-968 b,1018.0,4.66 Earths,14.25,2016,Super Earth,2.0 x Earth,Unknown,3.7 days,0.0,Kepler-969,Transit,,,0.92
3753,3753,Kepler-968 c,1018.0,3.5 Earths,14.25,2016,Super Earth,1.69 x Earth,Unknown,5.7 days,0.0,Kepler-97,Transit,,5.44,0.94
3754,3754,Kepler-969 b,1341.0,4.94 Earths,13.722,2016,Super Earth,2.07 x Earth,Unknown,34.2 days,0.0,Kepler-97,Radial Velocity,,,0.94
3755,3755,Kepler-969 c,1341.0,0.937 Earths,13.722,2016,Terrestrial,0.99 x Earth,Unknown,1.7 days,0.0,Kepler-970,Transit,,,0.7
3756,3756,Kepler-96 b,402.0,8.46 Earths,10.297,2014,Neptune-like,0.238 x Jupiter,Unknown,16.2 days,0.0,Kepler-971,Transit,,,0.88
3757,3757,Kepler-970 b,1142.0,8.1 Earths,14.806,2016,Neptune-like,0.247 x Jupiter,Unknown,16.7 days,0.0,Kepler-972,Transit,,,1.15
3758,3758,Kepler-971 b,1125.0,5.18 Earths,13.218,2016,Neptune-like,2.13 x Earth,Unknown,9.6 days,0.0,Kepler-973,Transit,,,0.86
3759,3759,Kepler-972 b,4254.0,19.5 Earths,14.892,2016,Neptune-like,0.415 x Jupiter,Unknown,7 days,0.0,Kepler-974,Transit,,,0.52
3760,3760,Kepler-973 b,969.0,4.5 Earths,13.234000000000002,2016,Super Earth,1.96 x Earth,Unknown,49.6 days,0.0,Kepler-975,Transit,,,0.8
